id_store,pssstore_stars_rating,pssstore_stars_rating_count,metacritic_critic_score,is_ps4,is_indie,is_dlc,is_vr,is_opti_ps5_pro,is_remaster,is_ps_exclusive,series_count,packs_deluxe_count,has_microtransactions,dlcs_count,trophies_count,has_local_multiplayer,local_multiplayer_max_players,has_online_multiplayer,online_multiplayer_max_players,is_online_only,difficulty,hours_main_story,hours_completionist,base_price,release_year,release_month,days_to_10_percent_discount,days_to_10_percent_discount_category,days_to_25_percent_discount,days_to_25_percent_discount_category,days_to_33_percent_discount,days_to_33_percent_discount_category,days_to_50_percent_discount,days_to_50_percent_discount_category,days_to_75_percent_discount,days_to_75_percent_discount_category,has_5pct_discount_at_30d,has_10pct_discount_at_60d,has_33_percent_discount_before_0.6_year,has_50_percent_discount_before_1_year,has_75_percent_discount_before_3_year,publisher_category,publisher_game_count_cat,publisher_game_count,genre_action_aventure,genre_roles,genre_sports,genre_reflexion,genre_rapide,popularity_score,popularity_category,download_size_gb,download_size_category,voice_languages_count,localization_category,sub_languages_count,content_score,content_category,exclusif_playstation_content,visibility_score,visibility_category,pegi_unified,price_category,game_age_years,release_season,log_pssstore_stars_rating_count
EP7072-PPSA17848_00-ALITTLETOTHELEFT,4.3,358,7,1,1,0,0,0,0,0,0,1,1,2,56,0,0,0,0,0,,4,4,14.99,2024,2,90.0,0-3_mois,188.0,6-12_mois,188.0,6-12_mois,291.0,6-12_mois,,moins_de_2_ans_sans_baisse,0,0,1,1,,other,medium,6,1,0,0,1,1,71.1,high,1.67,small,,basic,11.0,59.0,standard,0,74.0,high,3,8 - 14.99,1,winter,5.883322388488279
EP6694-PPSA13775_00-PRINCIPMATTPS5EU,3.88,50,,0,1,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,1,1,1,3.99,2023,2,321.0,6-12_mois,321.0,6-12_mois,321.0,6-12_mois,475.0,1-2_ans,,jamais_ou_plus,0,0,0,0,,indie_quality,medium,17,1,0,0,0,1,31.1,low,,,,none,,3.0,minimal,0,34.0,low,16,0 - 7.99,2,winter,3.9318256327243257
EB0896-PPSA26274_00-0150543957655955,3.85,41,,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,,2.99,2024,12,138.0,3-6_mois,138.0,3-6_mois,138.0,3-6_mois,138.0,3-6_mois,,moins_de_2_ans_sans_baisse,0,0,1,1,,other,medium,10,0,0,0,1,0,36.4,low,,,,none,,3.0,minimal,0,9.0,obscure,3,0 - 7.99,1,winter,3.7376696182833684
EP2333-PPSA05266_00-AMBSIEE000000000,4.05,254,71,1,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,2,1,1,7.99,2022,3,62.0,0-3_mois,62.0,0-3_mois,581.0,1-2_ans,818.0,jamais_ou_plus,,jamais_ou_plus,0,0,0,0,0,aa,large,24,1,0,0,0,1,61.6,high,1.83,small,,basic,14.0,47.0,standard,0,85.0,very_high,7,0 - 7.99,3,spring,5.541263545158426
EP7108-PPSA04982_00-AMONSTEREXPPS5EU,4.45,77,,1,1,0,0,0,0,0,0,1,0,0,21,0,0,0,0,0,8,9,9,24.99,2022,5,1.0,0-3_mois,1.0,0-3_mois,76.0,0-3_mois,287.0,6-12_mois,,jamais_ou_plus,1,1,1,1,0,other,small,3,1,0,0,1,1,38.9,low,0.48,tiny,,basic,14.0,38.0,light,0,29.0,low,3,15 - 24.99,3,spring,4.356708826689592
EP8925-PPSA04661_00-1290757845322345,4.51,101,6,0,1,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,,2,2,14.99,2022,3,98.0,3-6_mois,271.0,6-12_mois,271.0,6-12_mois,532.0,1-2_ans,,jamais_ou_plus,0,0,0,0,0,other,large,25,1,0,0,0,1,44.3,medium,0.5,tiny,1.0,standard,15.0,53.0,standard,0,70.0,high,16,8 - 14.99,3,spring,4.624972813284271
EP2005-PPSA22292_00-ANIGHTONTHEFARM0,3.93,129,,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,1,1,4.99,2024,9,50.0,0-3_mois,50.0,0-3_mois,302.0,6-12_mois,358.0,6-12_mois,,moins_de_2_ans_sans_baisse,0,1,0,1,,specialized,major,253,1,0,0,0,0,59.0,medium,0.2,tiny,,minimal,1.0,31.0,light,0,67.0,high,16,0 - 7.99,1,fall,4.867534450455582
EP3970-PPSA10209_00-8662575232160468,4.03,34,,1,1,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,,,,18.99,2023,10,153.0,3-6_mois,321.0,6-12_mois,615.0,1-2_ans,,jamais_ou_plus,,jamais_ou_plus,0,0,0,0,,other,unique,1,1,1,0,1,0,24.8,low,1.49,small,2.0,basic,4.0,28.0,light,0,7.0,obscure,12,15 - 24.99,2,fall,3.5553480614894135
EP4133-PPSA02785_00-APLAGUEINREQBDLE,4.56,24489,81,1,0,0,0,0,0,0,3,0,0,1,36,0,0,0,0,0,3,11,11,79.99,2023,1,42.0,0-3_mois,42.0,0-3_mois,210.0,6-12_mois,317.0,6-12_mois,323.0,6-12_mois,0,1,1,1,1,aa,medium,20,1,0,0,0,0,97.1,very_high,45.82,large,5.0,standard,15.0,100.0,extensive,0,96.0,very_high,18,40+,2,winter,10.106020149946213
EP1245-PPSA03014_00-2142726775891179,3.2,59,,1,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,,,,4.99,2021,11,120.0,3-6_mois,120.0,3-6_mois,120.0,3-6_mois,304.0,6-12_mois,,jamais_ou_plus,0,0,1,1,0,other,medium,11,1,0,0,1,1,31.8,low,0.17,tiny,,basic,8.0,19.0,minimal,0,15.0,obscure,7,0 - 7.99,4,fall,4.0943445622221
HB1365-PPSA29131_00-0524549596834010,1.61,62,,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,,,,6.99,2025,3,85.0,0-3_mois,85.0,0-3_mois,,moins_de_2_ans_sans_baisse,,moins_de_2_ans_sans_baisse,,moins_de_2_ans_sans_baisse,0,0,0,,,other,small,3,0,0,0,1,1,48.8,medium,,,,none,,9.0,minimal,0,11.0,obscure,3,0 - 7.99,0,spring,4.143134726391533
EP6853-PPSA19007_00-AQPBASEGAME00000,4.16,2296,67,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,,8,8,29.99,2024,10,36.0,0-3_mois,132.0,3-6_mois,132.0,3-6_mois,356.0,6-12_mois,,moins_de_2_ans_sans_baisse,0,1,1,1,,other,small,3,1,0,0,0,0,89.4,very_high,,,1.0,basic,4.0,53.0,standard,0,74.0,high,16,25 - 39.99,1,fall,7.739359202689098
